delivery_id,region,distance_km,hour_of_day,day_of_week,weather,traffic_index,shipment_volume,weight_kg,transportation_cost,actual_delivery_minutes,promised_window_minutes,delay_flag
41,South,9.49,10,2,Rain,0.711,3,6.1,10.12,65.0,60,1
42,West,12.71,17,2,Rain,0.327,4,5.88,16.17,78.8,60,1
43,West,6.2,17,4,Clear,0.611,6,12.52,10.31,50.7,45,1
44,South,8.62,20,2,Fog,0.344,4,7.38,12.01,55.7,60,0
45,West,6.91,9,3,Clear,0.645,4,5.19,9.7,45.8,45,1
46,West,10.1,12,3,Clear,0.467,2,3.46,10.75,50.8,60,0
47,South,7.52,19,1,Clear,0.496,3,7.06,8.92,35.4,45,0
48,South,3.96,14,0,Fog,0.538,3,7.41,5.68,33.8,30,1
49,West,11.05,20,5,Clear,0.439,5,10.43,11.8,61.1,60,1
50,North,5.23,7,0,Rain,0.533,3,3.97,7.42,36.8,45,0
51,North,5.38,7,2,Clear,0.186,3,5.99,5.47,28.8,45,0
52,North,4.25,18,4,Fog,0.782,4,8.56,8.28,38.4,45,0
53,West,7.73,12,0,Clear,0.503,4,8.36,9.09,37.9,45,0
54,West,10.0,14,4,Clear,0.528,4,8.46,9.9,56.2,60,0
55,West,8.7,12,5,Fog,0.328,4,7.78,10.16,47.5,60,0
56,West,9.79,12,4,Clear,0.371,1,1.77,9.31,56.0,60,0
57,East,5.96,20,2,Clear,0.435,4,6.23,7.32,40.3,45,0
58,East,7.97,8,0,Clear,0.565,5,5.2,11.67,43.2,45,0
59,North,5.78,17,6,Clear,0.605,4,7.74,7.9,34.6,45,0
60,North,3.4,19,2,Clear,0.528,3,5.62,3.91,25.4,30,0
61,West,11.34,16,5,Clear,0.243,3,6.07,11.4,52.9,60,0
62,East,4.5,12,1,Clear,0.569,5,6.32,6.85,31.8,45,0
63,East,7.54,9,1,Snow,0.568,6,12.35,13.65,75.6,45,1
64,West,9.91,16,5,Clear,0.4,5,13.11,12.16,56.4,60,0
65,East,4.92,13,6,Clear,0.3,4,7.33,6.08,33.0,45,0
66,East,5.93,9,6,Clear,0.635,8,14.2,11.51,39.5,45,0
67,East,9.3,12,5,Clear,0.196,5,9.62,10.94,48.8,60,0
68,South,12.16,20,1,Clear,0.485,3,7.84,11.2,62.5,60,1
69,North,6.65,10,6,Snow,0.271,2,2.78,7.46,44.1,45,0
70,South,8.14,9,4,Fog,0.574,4,7.53,11.35,58.6,60,0
71,North,8.76,16,1,Clear,0.408,5,7.4,11.63,47.6,60,0
72,South,6.02,9,0,Clear,0.725,1,1.58,6.93,44.4,45,0
73,Central,4.5,19,6,Clear,0.402,2,3.56,4.02,29.2,45,0
74,North,6.45,19,1,Clear,0.351,1,2.34,5.08,38.5,45,0
75,North,7.16,20,5,Clear,0.369,7,17.64,10.73,41.4,45,0
76,South,6.05,19,0,Rain,0.547,6,11.88,9.44,42.9,45,0
77,South,4.46,10,1,Clear,0.474,3,4.95,6.28,26.8,45,0
78,West,4.75,9,1,Clear,0.515,3,8.39,6.18,32.3,45,0
79,East,2.85,11,1,Clear,0.396,3,4.89,4.44,24.6,30,0
80,West,8.14,13,4,Clear,0.29,2,3.14,8.62,38.9,60,0
81,West,8.48,19,6,Clear,0.459,2,2.18,8.14,41.7,60,0
82,South,11.87,17,6,Clear,0.329,3,7.08,13.42,51.6,60,0
83,West,11.42,16,5,Rain,0.495,6,13.12,14.47,76.6,60,1
84,North,4.48,19,1,Clear,0.433,6,16.6,7.73,35.7,45,0
85,North,7.23,16,6,Clear,0.659,2,2.49,7.34,42.4,45,0
86,North,5.65,12,3,Clear,0.341,4,9.53,7.78,45.9,45,1
87,West,8.5,12,3,Rain,0.451,4,7.31,10.18,58.7,60,0
88,East,5.59,14,4,Clear,0.6,2,4.24,5.15,40.7,45,0
89,North,7.8,8,5,Rain,0.728,4,4.56,12.47,56.9,45,1
90,East,4.49,17,6,Snow,0.473,4,9.55,8.24,43.1,45,0
91,North,8.73,16,4,Clear,0.442,2,4.23,8.28,46.0,60,0
92,West,6.7,17,4,Rain,0.567,6,10.71,11.57,49.3,45,1
93,South,7.81,14,5,Clear,0.448,4,8.23,9.08,52.8,45,1
94,South,13.26,17,1,Fog,0.473,3,4.48,15.67,76.2,60,1
95,South,8.27,20,2,Clear,0.411,4,6.27,9.42,51.9,60,0
96,East,8.21,14,4,Snow,0.26,4,6.46,11.27,58.4,60,0
97,South,7.99,13,0,Clear,0.477,1,1.06,7.5,42.4,45,0
98,North,7.72,8,2,Clear,0.628,1,2.14,7.24,41.5,45,0
99,North,6.38,17,5,Clear,0.536,3,6.83,9.44,47.3,45,1
100,Central,3.44,19,6,Rain,0.258,3,4.56,5.05,29.0,30,0
101,Central,2.16,16,3,Clear,0.519,3,5.82,3.99,21.6,30,0
102,West,10.0,19,2,Clear,0.456,4,6.78,10.08,61.6,60,1
103,South,6.01,19,3,Rain,0.347,3,5.79,7.22,44.6,45,0
104,Central,5.2,18,4,Snow,0.529,7,10.84,11.53,56.0,45,1
105,West,11.38,14,3,Clear,0.27,6,8.68,14.15,49.7,60,0
106,West,9.87,8,0,Clear,0.429,3,6.66,11.37,48.1,60,0
107,South,7.2,7,3,Clear,0.366,2,3.55,7.77,34.0,45,0
108,South,8.75,9,2,Rain,0.733,3,7.83,11.15,65.4,60,1
109,North,5.85,13,4,Clear,0.392,4,7.27,7.1,36.3,45,0
110,Central,5.76,17,6,Snow,0.653,2,2.86,8.3,45.4,45,1
111,East,1.35,13,6,Clear,0.403,7,16.04,6.12,21.6,30,0
112,North,5.8,7,4,Clear,0.445,7,14.37,8.13,37.1,45,0
113,South,3.62,9,2,Clear,0.548,4,8.36,5.51,26.5,30,0
114,East,2.06,20,3,Clear,0.507,1,2.28,1.35,10.1,30,0
115,North,9.36,20,1,Rain,0.367,6,9.23,11.9,65.0,60,1
116,Central,5.68,12,6,Clear,0.289,5,8.75,7.34,39.2,45,0
117,West,7.59,18,5,Clear,0.38,5,8.66,9.9,51.4,45,1
118,West,5.94,17,5,Fog,0.495,5,6.42,9.36,47.6,45,1
119,South,1.57,20,2,Fog,0.295,6,10.17,4.23,27.4,30,0
120,East,4.06,19,2,Snow,0.461,2,4.67,4.99,38.3,45,0
121,East,10.28,15,5,Clear,0.373,2,3.79,10.66,45.5,60,0
122,East,6.11,12,3,Clear,0.723,4,5.05,7.84,39.5,45,0
123,North,5.32,15,4,Snow,0.246,2,2.36,7.01,39.9,45,0
124,South,8.78,11,3,Clear,0.44,5,12.33,9.86,43.0,60,0
125,North,3.22,11,3,Clear,0.307,4,7.06,4.22,24.9,30,0
126,East,4.58,15,4,Rain,0.371,6,9.25,7.45,29.5,45,0
127,South,8.01,14,5,Clear,0.434,2,3.38,7.98,43.2,60,0
128,North,6.32,15,2,Clear,0.187,5,6.05,8.89,32.2,45,0
129,North,8.16,12,5,Fog,0.488,7,16.58,12.33,59.1,60,0
130,East,5.92,12,1,Clear,0.671,2,3.29,6.61,38.2,45,0
131,North,7.9,7,2,Clear,0.375,3,7.04,8.08,48.9,45,1
132,Central,2.35,15,6,Clear,0.446,3,5.46,3.82,21.1,30,0
133,East,7.09,15,6,Clear,0.522,5,11.86,8.83,45.4,45,1
134,South,11.22,20,6,Clear,0.404,8,15.22,14.22,64.8,60,1
135,East,3.16,14,2,Rain,0.362,5,10.71,7.4,25.0,30,0
136,North,4.64,13,5,Rain,0.212,4,8.35,5.89,33.1,45,0
137,Central,6.61,7,6,Clear,0.484,3,6.15,7.27,43.4,45,0
138,East,4.8,9,6,Clear,0.552,4,7.76,8.18,45.3,45,1
139,West,12.05,11,0,Snow,0.319,5,8.53,15.06,83.4,60,1
140,North,5.57,12,5,Clear,0.476,2,5.13,5.55,33.5,45,0
141,East,8.26,12,6,Clear,0.398,3,4.31,8.5,44.1,60,0
142,East,5.48,12,5,Clear,0.404,6,10.81,8.12,39.3,45,0
143,Central,4.34,17,1,Rain,0.649,1,1.81,4.4,34.4,45,0
144,East,8.49,8,5,Clear,0.386,4,7.84,11.41,49.8,60,0
145,East,4.44,11,0,Rain,0.525,8,13.03,9.71,44.5,45,0
146,South,5.82,9,3,Clear,0.378,2,3.85,7.38,30.3,45,0
147,South,6.86,11,4,Clear,0.354,3,5.2,7.11,43.0,45,0
148,East,6.15,16,3,Clear,0.612,1,1.17,5.88,39.5,45,0
149,South,4.51,7,4,Clear,0.533,3,5.41,5.1,30.2,45,0
150,North,7.84,11,1,Clear,0.43,6,8.16,10.06,47.8,45,1
151,West,7.97,7,4,Clear,0.326,3,3.32,9.87,52.3,45,1
152,Central,6.21,20,4,Clear,0.367,6,11.13,8.94,31.3,45,0
153,North,1.47,17,4,Clear,0.577,2,3.99,2.11,17.1,30,0
154,East,3.55,10,2,Clear,0.424,3,6.03,4.92,22.8,30,0
155,North,2.96,9,2,Clear,0.555,7,14.19,6.91,37.5,30,1
156,West,7.36,8,1,Fog,0.563,8,8.22,12.74,66.5,45,1
157,South,8.32,13,3,Clear,0.438,5,6.28,9.45,44.2,60,0
158,West,8.72,17,4,Rain,0.372,3,7.77,11.25,54.2,60,0
159,West,8.57,15,2,Fog,0.368,6,8.29,12.08,48.4,60,0
160,West,8.77,19,2,Clear,0.511,3,6.13,9.6,47.7,60,0
161,North,6.93,11,2,Rain,0.283,8,12.2,11.92,52.0,45,1
162,Central,1.68,10,1,Snow,0.401,9,16.49,7.56,30.0,30,0
163,North,7.98,13,4,Clear,0.372,3,4.64,8.26,46.4,45,1
164,North,7.89,9,5,Clear,0.582,4,8.1,10.64,51.2,45,1
165,East,6.01,20,2,Clear,0.381,4,7.42,7.13,39.3,45,0
166,South,8.97,9,6,Clear,0.766,5,8.1,12.05,61.0,60,1
167,West,9.72,13,3,Clear,0.518,6,8.28,12.13,63.1,60,1
168,West,13.37,14,1,Fog,0.289,4,7.63,14.36,68.3,60,1
169,South,7.62,7,2,Fog,0.487,4,5.26,9.53,55.6,45,1
170,Central,3.16,13,0,Clear,0.377,5,9.85,6.64,18.6,30,0
171,South,6.22,13,0,Rain,0.399,6,17.1,9.55,46.9,45,1
172,East,3.03,10,2,Clear,0.451,5,11.7,6.29,27.8,30,0
173,South,5.19,8,3,Snow,0.501,6,12.52,11.43,63.3,45,1
174,Central,1.93,7,5,Clear,0.509,4,7.06,3.16,17.7,30,0
175,North,6.35,7,0,Fog,0.343,3,3.07,6.96,35.6,45,0
176,North,7.2,13,5,Rain,0.394,3,3.81,8.11,40.8,45,0
177,South,7.91,8,1,Clear,0.478,5,11.57,10.67,51.7,45,1
178,Central,2.19,20,0,Clear,0.363,4,5.94,4.21,12.4,30,0
179,Central,5.69,10,4,Rain,0.53,3,4.56,7.58,40.5,45,0
180,West,10.65,16,5,Clear,0.483,4,6.93,12.21,52.8,60,0
181,Central,3.46,16,4,Clear,0.591,3,4.13,4.93,28.9,30,0
182,Central,2.43,13,0,Snow,0.711,3,3.93,4.39,26.4,30,0
183,East,6.35,19,0,Clear,0.317,4,7.12,6.8,32.9,45,0
184,South,8.19,8,2,Clear,0.577,3,4.33,10.12,54.0,60,0
185,West,6.06,10,3,Clear,0.302,2,3.01,6.37,27.1,45,0
186,West,8.96,10,6,Clear,0.342,4,5.95,10.12,55.6,60,0
187,South,8.35,8,2,Fog,0.482,9,18.08,16.47,57.6,60,0
188,North,4.61,11,1,Clear,0.314,2,3.41,5.86,34.7,45,0
189,West,9.5,11,6,Clear,0.315,6,10.37,12.14,49.1,60,0
190,South,4.74,17,1,Clear,0.548,3,6.12,6.13,30.6,45,0
191,Central,6.61,11,0,Fog,0.298,5,8.72,8.81,43.1,45,0
192,North,9.12,19,2,Clear,0.504,2,3.38,8.9,52.8,60,0
193,North,5.97,17,2,Snow,0.443,3,5.96,9.05,48.1,45,1
194,West,9.86,19,4,Rain,0.701,6,12.4,13.32,75.4,60,1
195,North,1.44,8,6,Rain,0.506,3,5.22,3.99,22.6,30,0
196,North,4.07,20,6,Fog,0.427,9,16.49,8.72,39.4,45,0
197,East,4.58,15,2,Rain,0.29,2,2.97,6.25,29.9,45,0
198,Central,1.55,20,6,Fog,0.591,2,2.91,2.72,20.6,30,0
199,North,8.0,11,4,Clear,0.532,3,6.32,7.6,52.4,60,0
200,South,11.99,20,0,Rain,0.45,2,3.96,12.35,71.2,60,1
201,West,6.63,15,6,Clear,0.285,3,5.95,7.6,34.4,45,0
202,Central,2.04,8,0,Clear,0.595,1,1.91,3.27,10.0,30,0
203,East,5.69,12,4,Snow,0.339,4,7.27,8.52,40.3,45,0
204,North,9.88,8,5,Fog,0.764,4,8.31,13.64,73.1,60,1
205,North,3.93,20,1,Rain,0.501,7,15.22,8.31,34.0,30,1
206,North,7.02,11,1,Clear,0.43,3,6.49,6.98,41.8,45,0
207,North,10.32,10,3,Clear,0.176,6,10.56,11.53,59.1,60,0
208,West,5.63,14,6,Clear,0.322,1,2.35,6.06,25.3,45,0
209,North,3.81,12,1,Clear,0.538,4,7.57,6.36,31.0,30,1
210,East,4.31,8,4,Clear,0.731,3,6.16,6.48,33.2,45,0
211,West,8.01,18,3,Clear,0.717,2,3.83,10.1,47.0,60,0
212,East,6.91,18,0,Clear,0.352,5,9.49,10.84,45.5,45,1
213,North,7.01,17,4,Rain,0.608,7,10.54,13.1,64.0,45,1
214,West,5.37,15,5,Clear,0.522,3,6.24,5.82,35.3,45,0
215,West,10.18,12,4,Fog,0.28,3,8.81,12.1,62.8,60,1
216,West,7.89,14,1,Clear,0.419,3,4.95,8.83,38.4,45,0
217,North,9.18,14,1,Clear,0.447,3,5.49,9.37,49.1,60,0
218,North,5.18,9,2,Clear,0.526,2,3.24,6.04,33.7,45,0
219,Central,2.46,8,3,Clear,0.317,3,4.81,4.63,19.0,30,0
220,South,8.94,10,3,Fog,0.387,2,4.84,8.31,52.5,60,0
221,South,9.4,13,1,Clear,0.426,2,3.06,9.61,44.1,60,0
222,East,6.14,9,3,Clear,0.547,4,6.44,8.19,44.2,45,0
223,West,5.56,8,2,Fog,0.491,1,1.17,6.7,39.6,45,0
224,Central,4.93,18,4,Fog,0.507,3,4.49,6.98,42.0,45,0
225,South,5.63,12,5,Clear,0.458,6,6.7,8.23,33.7,45,0
226,Central,4.29,15,4,Clear,0.464,5,10.26,6.2,28.1,45,0
227,North,3.51,14,0,Clear,0.39,5,14.6,5.89,34.5,30,1
228,East,6.14,17,6,Clear,0.512,4,6.61,9.89,36.6,45,0
229,East,3.51,17,0,Clear,0.579,4,4.53,7.02,18.4,30,0
230,North,3.81,11,6,Clear,0.228,3,6.48,5.25,33.0,30,1
231,North,8.0,18,0,Snow,0.631,2,3.02,11.06,66.0,45,1
232,South,8.31,12,3,Clear,0.462,3,6.96,9.37,41.4,60,0
233,Central,2.51,18,0,Clear,0.572,3,5.06,5.2,26.0,30,0
234,East,8.25,12,0,Clear,0.568,6,9.28,10.11,55.9,60,0
235,Central,2.87,8,4,Rain,0.303,5,8.64,6.75,25.6,30,0
236,West,9.17,17,5,Clear,0.301,2,4.21,9.34,45.9,60,0
237,East,5.76,7,0,Snow,0.447,2,3.42,8.02,52.0,45,1
238,West,7.8,17,6,Fog,0.566,4,6.41,12.23,58.6,45,1
239,North,7.49,7,2,Clear,0.437,3,5.16,8.21,45.1,45,1
240,North,5.38,9,2,Clear,0.505,6,7.75,8.4,45.7,45,1
241,West,8.24,15,2,Clear,0.486,4,7.84,9.77,54.4,60,0
242,West,11.96,20,3,Clear,0.513,1,1.09,10.22,57.0,60,0
243,North,4.31,12,1,Fog,0.515,5,8.11,6.66,35.2,45,0
244,East,0.8,8,2,Clear,0.532,4,8.42,3.92,10.5,30,0
245,East,8.58,10,1,Rain,0.209,3,5.76,10.03,50.2,60,0
246,Central,9.15,19,0,Clear,0.497,3,6.11,9.29,48.9,60,0
247,East,4.35,17,2,Clear,0.732,9,15.97,10.07,43.8,45,0
248,South,3.73,8,4,Clear,0.654,3,6.8,5.79,30.1,30,1
249,South,7.15,12,5,Rain,0.365,2,4.34,7.66,30.5,45,0
250,South,7.2,10,2,Rain,0.487,4,7.91,8.59,49.0,45,1
251,West,8.7,9,2,Clear,0.683,5,10.86,11.76,59.9,60,0
252,Central,1.46,18,5,Clear,0.777,4,8.4,4.39,22.9,30,0
253,East,6.42,15,4,Rain,0.332,5,8.12,9.08,46.7,45,1
254,North,7.6,9,5,Clear,0.536,4,5.05,9.34,55.1,45,1
255,North,3.36,16,6,Fog,0.495,6,11.81,7.43,33.9,30,1
256,West,10.57,12,5,Clear,0.468,4,8.07,10.38,59.2,60,0
257,West,13.41,7,6,Clear,0.308,4,8.94,13.53,67.5,60,1
258,North,6.86,13,2,Clear,0.508,3,4.28,7.26,42.5,45,0
259,North,5.79,9,2,Clear,0.645,5,7.19,9.2,39.8,45,0
260,East,4.9,10,2,Clear,0.429,2,3.97,5.7,20.8,45,0
261,North,7.79,19,1,Clear,0.442,5,8.86,10.3,40.6,45,0
262,West,5.47,16,5,Fog,0.394,3,3.14,6.39,38.4,45,0
263,South,8.15,8,5,Clear,0.767,9,17.55,14.52,67.1,60,1
264,North,5.68,18,5,Clear,0.445,4,4.24,8.43,40.4,45,0
265,Central,7.68,15,1,Clear,0.361,4,5.69,7.93,41.7,45,0
266,North,6.13,19,3,Clear,0.421,3,7.02,8.15,45.7,45,1
267,South,11.3,17,1,Clear,0.686,4,10.12,12.94,67.8,60,1
268,North,4.18,11,6,Clear,0.27,3,3.94,5.61,29.4,45,0
269,North,7.73,14,1,Clear,0.289,3,5.0,8.61,43.6,45,0
270,North,7.17,14,1,Clear,0.216,9,16.35,11.66,51.3,45,1
271,North,4.68,17,3,Fog,0.571,2,5.02,6.0,26.2,45,0
272,North,6.87,10,6,Clear,0.308,5,8.01,9.34,44.7,45,0
273,North,9.05,11,6,Snow,0.382,9,14.48,14.83,82.9,60,1
274,East,4.52,10,0,Clear,0.486,2,4.84,5.0,36.3,45,0
275,West,5.55,11,2,Clear,0.356,2,3.3,5.58,33.4,45,0
276,South,7.76,9,1,Rain,0.598,7,14.62,13.08,56.2,45,1
277,South,5.9,7,2,Clear,0.39,4,4.84,7.68,42.7,45,0
278,East,4.48,20,3,Rain,0.487,5,8.66,8.04,38.9,45,0
279,Central,3.63,8,1,Clear,0.631,3,3.41,5.41,27.4,30,0
280,Central,0.8,19,0,Clear,0.351,2,2.76,2.35,12.1,30,0
281,North,3.11,7,3,Snow,0.403,4,8.54,6.1,32.1,30,1
282,North,7.51,17,0,Clear,0.708,3,5.34,8.88,57.0,45,1
283,North,5.4,11,1,Clear,0.459,5,8.36,7.44,38.6,45,0
284,North,1.11,14,0,Rain,0.28,1,1.5,1.5,11.9,30,0
285,East,6.85,10,0,Rain,0.486,4,6.85,8.51,49.3,45,1
286,South,8.37,13,3,Fog,0.343,4,7.68,10.33,56.9,60,0
287,North,5.0,13,5,Clear,0.617,4,8.77,6.79,38.8,45,0
288,South,5.03,14,5,Clear,0.522,5,3.75,6.33,37.1,45,0
289,East,6.96,12,0,Rain,0.494,3,4.4,7.39,43.3,45,0
290,North,7.23,14,0,Clear,0.436,3,5.59,8.2,48.5,45,1
291,West,14.1,18,2,Rain,0.539,3,5.28,16.74,84.5,60,1
292,North,7.38,13,4,Clear,0.537,6,11.77,10.06,46.8,45,1
293,Central,4.61,12,5,Clear,0.421,2,3.81,5.59,29.4,45,0
294,North,6.15,8,5,Rain,0.599,2,3.36,7.27,52.1,45,1
295,West,10.82,12,2,Clear,0.558,6,9.54,11.95,65.9,60,1
296,Central,5.11,8,1,Clear,0.491,3,5.11,8.07,30.8,45,0
297,Central,6.43,9,0,Clear,0.484,5,11.3,9.94,40.1,45,0
298,West,8.01,20,1,Rain,0.301,2,3.01,8.44,54.4,60,0
299,West,8.19,8,0,Snow,0.423,4,7.1,12.4,54.4,60,0
300,East,4.19,13,6,Clear,0.261,2,3.75,4.46,21.7,45,0
301,West,10.76,18,1,Clear,0.666,6,14.54,13.94,85.0,60,1
302,North,9.65,20,5,Fog,0.601,8,13.44,14.29,71.2,60,1
303,East,4.24,9,3,Clear,0.759,1,2.18,4.37,26.1,45,0
304,East,4.31,9,3,Clear,0.347,2,4.59,6.25,27.1,45,0
305,Central,4.46,12,3,Clear,0.542,2,3.55,4.75,33.3,45,0
306,East,4.68,14,5,Clear,0.562,4,6.86,5.76,35.3,45,0
307,South,9.8,20,0,Snow,0.374,3,5.01,11.94,76.0,60,1
308,East,0.8,9,0,Rain,0.581,3,5.09,2.1,17.4,30,0
309,South,6.06,9,2,Rain,0.296,5,10.71,10.11,40.9,45,0
310,North,4.86,10,2,Clear,0.447,4,7.57,6.43,40.6,45,0
311,East,0.8,19,3,Clear,0.314,2,3.79,2.37,8.9,30,0
312,South,5.78,7,5,Clear,0.44,3,4.05,5.71,33.0,45,0
313,North,4.58,12,4,Clear,0.29,3,4.24,6.39,23.4,45,0
314,South,7.38,8,1,Clear,0.64,6,15.94,11.84,47.5,45,1
315,South,10.14,9,2,Clear,0.705,3,5.19,12.73,57.1,60,0
316,South,7.29,19,5,Clear,0.342,6,8.94,9.76,44.6,45,0
317,South,5.64,7,1,Clear,0.306,2,4.74,6.6,34.0,45,0
318,West,8.98,11,3,Rain,0.204,3,5.74,9.36,45.8,60,0
319,South,10.0,19,3,Clear,0.393,2,4.06,10.13,38.8,60,0
320,Central,1.75,15,5,Clear,0.362,3,5.23,2.83,14.2,30,0
321,Central,1.89,8,5,Rain,0.358,3,5.02,3.26,17.9,30,0
322,East,6.37,13,3,Rain,0.512,4,6.93,7.82,45.3,45,1
323,South,7.33,20,2,Rain,0.375,8,9.98,11.99,60.9,45,1
324,East,6.56,12,2,Clear,0.344,2,3.53,6.28,32.5,45,0
325,West,9.07,14,2,Rain,0.365,2,3.84,9.91,55.7,60,0
326,West,10.57,14,1,Clear,0.527,2,5.08,9.19,56.7,60,0
327,West,6.93,16,4,Clear,0.48,4,7.34,7.29,43.4,45,0
328,East,5.17,9,1,Clear,0.549,2,1.73,7.26,29.8,45,0
329,East,4.76,18,4,Clear,0.651,5,8.81,8.64,37.7,45,0
330,South,5.25,20,5,Clear,0.304,5,14.48,6.83,32.9,45,0
331,West,5.82,8,6,Clear,0.571,6,12.88,9.82,41.7,45,0
332,North,7.94,18,0,Rain,0.587,2,2.95,10.54,54.1,45,1
333,West,8.36,18,5,Clear,0.504,2,4.07,9.81,42.8,60,0
334,Central,1.65,17,0,Clear,0.626,6,9.02,5.84,26.3,30,0
335,North,6.3,12,2,Clear,0.376,3,3.78,7.81,39.4,45,0
336,East,7.57,13,1,Clear,0.518,2,3.32,7.2,40.0,45,0
337,North,1.71,18,1,Clear,0.642,7,12.86,6.52,23.4,30,0
338,West,5.96,9,1,Clear,0.173,4,4.2,8.57,35.4,45,0
339,North,4.56,18,0,Clear,0.728,1,1.34,4.99,26.7,45,0
340,Central,6.87,19,5,Rain,0.115,3,5.41,8.06,40.5,45,0
341,North,7.09,16,0,Fog,0.358,5,8.18,9.6,47.9,45,1
342,Central,5.41,11,2,Clear,0.523,3,5.87,6.42,31.1,45,0
343,West,6.71,14,4,Clear,0.388,6,7.88,8.67,38.0,45,0
344,East,2.85,7,6,Snow,0.273,1,2.09,4.12,22.7,30,0
345,West,10.04,20,5,Fog,0.311,2,2.65,9.72,55.6,60,0
346,West,9.22,11,0,Clear,0.523,4,9.83,10.11,53.4,60,0
347,Central,4.95,7,6,Snow,0.228,5,5.57,8.5,49.2,45,1
348,South,7.41,18,4,Snow,0.719,4,5.45,12.26,69.8,45,1
349,East,5.78,16,1,Rain,0.414,4,7.87,6.95,45.1,45,1
350,North,6.83,15,3,Clear,0.301,2,4.93,7.54,39.6,45,0
351,East,6.83,7,6,Clear,0.362,4,7.7,7.8,50.2,45,1
352,North,8.19,17,2,Clear,0.43,1,2.03,9.43,39.6,60,0
353,East,1.8,15,1,Clear,0.507,8,14.46,6.04,11.6,30,0
354,East,0.8,18,6,Clear,0.666,5,6.95,4.2,13.5,30,0
355,East,7.3,18,6,Clear,0.335,4,6.42,11.05,44.9,45,0
356,East,7.69,9,6,Clear,0.513,4,5.26,10.11,51.5,45,1
357,West,6.96,9,6,Clear,0.45,3,3.87,9.61,42.8,45,0
358,West,5.19,19,6,Rain,0.549,7,13.72,9.38,49.5,45,1
359,East,5.41,14,3,Clear,0.285,3,4.05,6.65,34.5,45,0
360,East,7.15,13,1,Clear,0.638,3,5.78,7.92,48.6,45,1
361,Central,7.57,11,4,Rain,0.417,3,3.84,9.46,44.6,45,0
362,North,7.58,15,1,Rain,0.304,2,3.84,7.9,39.2,45,0
